"LastWriteTime","Length","Name","FullName"
"2/9/2026 12:11:25 AM","104106","SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire City (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire City (Interior).png"
"2/9/2026 12:11:04 AM","30688","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Blessing Gate.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Blessing Gate.png"
"2/9/2026 12:10:44 AM","68457","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Coliseum (Ruined).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Coliseum (Ruined).png"
"2/9/2026 12:10:32 AM","161514","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Lost Forest.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Lost Forest.png"
"2/9/2026 12:10:22 AM","187251","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Relics Graveyard.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Relics Graveyard.png"
"2/9/2026 12:10:14 AM","111373","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Salanan Temple Ruins.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Salanan Temple Ruins.png"
"2/9/2026 12:10:03 AM","5038","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Magician's Guild (Tower).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Magician's Guild (Tower).png"
"2/9/2026 12:09:50 AM","34761","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Magician's Guild (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Magician's Guild (Entrance).png"
"2/9/2026 12:09:35 AM","10424","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Miscellaneous - Magician's Guild (Tower Panorama).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Miscellaneous - Magician's Guild (Tower Panorama).png"
"2/9/2026 12:09:20 AM","28467","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Salanan Castle (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Salanan Castle (Entrance).png"
"2/9/2026 12:09:08 AM","22951","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Anatea Castle (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Anatea Castle (Entrance).png"
"2/9/2026 12:08:59 AM","82747","SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Anatea Castle (Courtyard).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Magna Braban_ Henreki no Yuusha (JPN) - Maps - Anatea Castle (Courtyard).png"
"2/9/2026 12:08:11 AM","90855","SNES - Solid Runner (JPN) - Tilesets - Area 01 - Shuu's House (Balcony) Tileset.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Tilesets - Area 01 - Shuu's House (Balcony) Tileset.png"
"2/9/2026 12:07:47 AM","10807","SNES - Solid Runner (JPN) - Maps - Area 06 - Natural Park (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Maps - Area 06 - Natural Park (Interior).png"
"2/9/2026 12:07:26 AM","150917","SNES - Solid Runner (JPN) - Maps - Area 02 - Sister Reitel's Church.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Maps - Area 02 - Sister Reitel's Church.png"
"2/9/2026 12:07:15 AM","145799","SNES - Solid Runner (JPN) - Maps - Area 11 - Tao's House.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Maps - Area 11 - Tao's House.png"
"2/9/2026 12:06:58 AM","343572","SNES - Solid Runner (JPN) - Maps - Area 06 - Natural Park (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Maps - Area 06 - Natural Park (Exterior).png"
"2/9/2026 12:06:43 AM","20404","SNES - Solid Runner (JPN) - Maps - Area 07 - EL'S Cafe.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Solid Runner (JPN) - Maps - Area 07 - EL'S Cafe.png"
"2/9/2026 12:06:14 AM","21267","SNES - Neugier_ Umi to Kaze no Kodou (JPN) - Tilesets - Ship (Exterior & Interior) Tileset.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Neugier_ Umi to Kaze no Kodou (JPN) - Tilesets - Ship (Exterior & Interior) Tileset.png"
"2/9/2026 12:05:55 AM","17229","SNES - Aretha (JPN) - Maps - Sarah's House (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Aretha (JPN) - Maps - Sarah's House (Interior).png"
"2/9/2026 12:05:35 AM","165436","SNES - Chou Mahou Tairiku Wozz (JPN) - Maps - Ghield Village (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Chou Mahou Tairiku Wozz (JPN) - Maps - Ghield Village (Exterior).png"
"2/9/2026 12:05:01 AM","41283","SNES - Dark Law - Meaning of Death (JPN) - Maps - Temple.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Dark Law - Meaning of Death (JPN) - Maps - Temple.png"
"2/9/2026 12:00:38 AM","107346","3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy I Monsters.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy I Monsters.png"
"2/9/2026 12:00:21 AM","210247","3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy X Monsters.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy X Monsters.png"
"2/8/2026 11:59:56 PM","448806","3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy IV Monsters.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy IV Monsters.png"
"2/8/2026 11:59:26 PM","77399","3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy XI Monsters.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\3DS - Pictologica Final Fantasy - Enemies & Bosses - Final Fantasy XI Monsters.png"
